policy,completion_pct,mean_travel_time,surrogate_welfare
all_open,0.4696969696969697,4.838709677419355,120.0
cycle,0.9560439560439561,8.563218390804598,180.0
longest_current_wait,0.9725274725274725,6.3107344632768365,180.0
longest_cumulative_wait,0.967032967032967,6.482954545454546,180.0
